,PTID1,PTID2,PTID3,PTID4,PTID5,PTID6,Mean,Median,NAs
ADGRG2,5.786329592582984,5.654721781781438,5.462397747246841,3.930535656090944,4.67666678711922,3.8053483836395854,4.885999991410168,5.06953226718303,0
ADM,1.5334162732241223,2.1101542609980712,2.0193265888461025,2.1051943111673754,1.8085572941421617,2.1731445315226945,1.958298876650088,2.0622604500067387,0
AFP,3.918573140316304,2.366925398195232,2.645930961395405,4.160557360384615,1.8224618207014018,4.068044785637387,3.1637489111050576,3.2822520508558544,0
AGER,0.8254261164035017,0.9876605355095044,1.4595228374060272,0.6382022912293971,0.5675457109353609,1.5882431881174193,1.0111001132668684,0.906543325956503,0
AGR2,19.761841773880352,15.246874956521507,10.674117461807752,14.515061183929792,19.58750016835486,10.798143018392043,15.097256427147718,14.880968070225649,0
AGRP,3.8408285006965777,8.039607693327067,6.7340150727232135,7.127108971119046,5.4712809161653,6.186544783231833,6.23323098954384,6.460279927977523,0
AIFM1,27.539452630960966,29.128986730539424,18.87586259259596,19.934279979563147,27.319787220445292,23.163124274136063,24.326915571373476,25.24145574729068,0
AIMP1,15.87146908112027,19.354976269347976,11.444191593578447,13.328669043746677,14.298658170969713,14.52359338851626,14.803592924546557,14.411125779742985,0
AKR1B1,7.156997250909105,12.199735054972061,6.168497937574889,8.981995272468815,1.1393048657326867,7.891992997448921,7.256420563184413,7.524495124179013,0
AKT1S1,8.738070444434168,7.803884316567027,26.829865652438176,5.973263228280651,8.70078536149862,7.820627224195561,10.977749371235701,8.26070629284709,0
ALCAM,1.4842247357925178,1.7803934632129923,1.5300255081014589,1.5406910519591686,1.4924278453589588,2.92292964810857,1.7917820420889443,1.5353582800303136,0
ALDH1A1,3.3942041421929177,8.29382501477472,8.662731316855462,8.531770553655978,5.984566830240778,9.84989701336919,7.452832478514841,8.41279778421535,0
ALDH3A1,24.513465828340557,10.043800898125395,10.33708579621348,10.03467909309621,12.588731670848729,15.524178933067558,13.840323703281989,11.462908733531105,0
ALPP,5.447642279769519,2.5118528963015456,2.4521044129521687,5.196884043642561,3.5660811726207826,3.400601986441663,3.7625277986213734,3.483341579531223,0
AMBP,0.654940959774814,1.4599964275432067,1.4051273914579134,0.7088067430421721,1.2790675481808031,0.8851682798382692,1.0655178916395298,1.0821179140095363,0
AMIGO2,3.0718848723337753,3.9250397109421233,2.4991290603706435,2.197581285033016,2.949527150492329,2.0930940949973382,2.789376029028204,2.7243281054314865,0
AMN,1.8695226341099815,2.0806426397848017,3.4301921108370546,3.7523876666195135,5.960078208391689,3.629712705132072,3.453755994145852,3.5299524079845632,0
ANG,2.6065142400905477,4.961820793802045,3.001102841617409,4.054561689050042,3.678475611066826,3.5699784384821336,3.645408935684834,3.6242270247744797,0
ANGPT1,5.6877143379634605,5.557836131306955,5.410080690303986,3.4883028072475395,6.684796236234148,4.051075769602787,5.1466343287764795,5.483958410805471,0
ANGPT2,4.191232485592213,5.933188177861488,5.449601805403181,4.842408205047449,6.450832637740592,4.577078220240183,5.240723588647517,5.146005005225315,0
ANGPTL1,4.470121579378623,6.49247011368989,4.0811886946325,3.692949888379899,3.5310742132929858,2.653372754419773,4.153529540632278,3.8870692915061995,0
ANGPTL3,2.4037694409824697,6.282213372829829,2.304534150621557,3.843535215928779,3.151613893204252,5.244468346638188,3.8716890700341793,3.4975745545665156,0
ANGPTL4,10.417279138800499,7.115648621692707,6.898884042509839,5.672280829433146,6.329834284225388,6.55050361163169,7.164071754715545,6.724693827070764,0
ANGPTL7,7.47744410702518,6.067314829154711,5.187569061671872,5.347930513800017,9.638745525706556,4.2562294116344646,6.329205574832133,5.707622671477363,0
ANPEP,1.758978795046035,2.0226520972097664,1.7058429210736796,1.5140417760249176,1.9922587058255183,3.444316749251354,2.0730151740718785,1.8756187504357766,0
ANXA1,7.015788939788003,9.74164682250169,6.253312737426348,6.979487563242706,4.855706850054233,5.607341095759627,6.7422140014621,6.616400150334527,0
ANXA10,13.903170901098342,11.547987885065494,49.011441656298274,12.555026051181445,8.342123176420603,25.832850338750227,20.198766668135733,13.229098476139892,0
ANXA11,10.401141415260257,16.211932918587333,23.771840940437702,15.047097687207573,33.67039772110849,23.160982175487494,20.37723214301481,19.686457547037413,0
AOC1,9.12283084112661,3.4425841817334937,60.367781854443244,6.11638012927915,3.019500273949862,3.12659960813308,14.19927948144424,4.779482155506322,0
AOC3,2.343808233262168,3.4452559129824,2.4847633694068785,1.9112700374763798,2.917496183040279,2.772032770324841,2.645771084415491,2.6283980698658596,0
APEX1,5.0655831480102504,6.722182706524978,7.012873411579052,6.468901912085643,8.501184865388236,12.947235999958435,7.786327007257766,6.867528059052015,0
APLP1,3.64382671409155,6.663888225485913,4.489860589127923,5.30966424665541,6.053213833199228,4.047600135619939,5.034675624029994,4.899762417891666,0
APOM,1.9527728836066565,3.557426438734631,1.8331007791029168,3.1197991550137467,2.163568232780275,2.577610082527781,2.5340462619610014,2.3705891576540283,0
APP,11.92762512430832,14.810502563077875,12.145224535888785,8.109015249578993,19.335807478631054,5.970220327716795,12.049732546533637,12.036424830098552,0
AREG,23.122717181495656,4.225013069212237,4.504710981413462,4.717947681723055,5.239397001815816,7.314830664799386,8.18743609674327,4.978672341769435,0
ARG1,61.37966761685773,35.42350585634571,9.406400030174927,12.349606159525493,16.161512640801106,47.30849220479483,30.3381974180833,25.79250924857341,0
ARHGAP1,8.235389528561702,6.903864206967614,12.902494927985696,7.603888664821442,11.040178972547846,11.430660077426715,9.68607939638517,9.637784250554773,0
ARHGAP25,7.202718328121321,19.26513909184193,6.327273066544842,14.996003790821304,9.647696116082226,10.878053321565355,11.386147285829496,10.262874718823792,0
ARHGEF12,12.59405436937004,9.562309404188934,13.735871162239665,8.6177073894392,10.919619076970978,8.908972428003118,10.723088971701989,10.240964240579956,0
ARSA,7.819863090580276,6.747912642451738,11.144333827179988,7.304740092131176,7.817994354644637,5.281595340365179,7.686073224558832,7.561367223387906,0
ARSB,,8.756836217216568,3.715951544850649,3.396313151056629,3.4839012800739257,4.170630268733858,4.704726492386326,3.715951544850649,1
ASAH2,4.924199359104641,2.0289536236889867,6.494372272985847,2.062992490480434,2.0644259496964605,5.09343005876337,3.77806229245329,3.4943126544005505,0
ASGR1,5.623186099544101,3.701599752231653,49.012335150317725,4.834627230880509,4.955210623872408,6.556017752902074,12.447162768291411,5.289198361708255,0
ATG4A,13.643593819176427,10.318281235660905,9.950120559361697,12.25116402797386,8.194711004669053,11.617928814698004,10.995966576923324,10.968105025179455,0
ATP6V1D,7.4942544217998055,25.733698535197373,13.741212835611561,13.935482088487545,12.042123481408982,10.095102430102537,13.840312298767968,12.89166815851027,0
AXIN1,13.149442397719785,12.315335084105755,13.027251111533117,10.354092450118852,12.931497547500474,10.913036678403556,12.11510921156359,12.623416315803114,0
AXL,1.2912971197711738,1.3686114034248007,1.560701564908581,1.3642066791030558,1.8232904520319575,2.1068264951327005,1.5858222857287116,1.464656484166691,0
AZU1,2.832441878651838,5.575322686219626,8.315296287173485,6.849595872818553,4.301362683463572,8.98618723192352,6.143367773375099,6.21245927951909,0
B4GALT1,6.122594995730565,4.17304751096598,4.176485390437697,3.9089508857693476,3.0681133611710085,3.463198184755638,4.152065054805039,4.040999198367664,0
B4GAT1,4.474819681230137,3.9779362748054856,2.558504900620909,2.569876150623005,1.3602278942990922,2.7780856499827205,2.9532417585935584,2.6739809003028627,0
BACH1,9.80556264475312,11.5316478484966,13.359899758339244,5.757805487753592,17.10468067201337,12.191661859051683,11.625209711734602,11.86165485377414,0
BAG6,5.908055930808016,12.243338785445749,8.948569477491684,8.506964162915633,15.512975594572222,9.311203125321695,10.071851179425833,9.129886301406689,0
BAMBI,9.202323231642971,5.197205438765618,4.127753481435314,6.540124849967685,4.734570273878172,14.147365311447796,7.324890431189592,5.868665144366652,0
BANK1,8.493460735026806,9.487549340836038,7.848441877334859,5.285188043729003,9.08907664787331,6.840089744188518,7.840634398164756,8.170951306180832,0
BCAM,3.510743384631771,3.8745785986297605,2.7396173169242157,4.161265361546144,3.1405012551424707,3.33608820100381,3.4604656863130288,3.4234157928177904,0
BCAN,4.281095316531785,3.6887968430354636,2.573209663739572,4.468433063742295,2.342662518193619,3.7751050637867696,3.5215504115049177,3.7319509534111166,0
BCL2L11,3.727117180592876,5.606737663784234,3.707391330529159,5.593309427845876,6.933856225146226,4.525416423301993,5.015638041866727,5.059362925573934,0
BCR,12.29390443735338,9.54906281538145,14.456427657158152,9.381882690019792,10.507526486905626,9.54722403158342,10.956004686400304,10.028294651143538,0
BGN,3.4690547858269856,7.380724341554521,10.052056804649416,6.0865818926039,7.058991162855517,5.817841502112552,6.644208414933815,6.572786527729709,0
BID,4.910410110215003,12.89822921143263,8.62732986816048,8.922056405448135,9.030755787739567,7.8937355955469215,8.713752829757123,8.774693136804308,0
BLVRB,15.434605620534322,11.213192163111072,13.860453207605232,19.04005405663607,12.073080912005894,10.83687789904448,13.743043976489512,12.966767059805562,0
BMP4,4.230446406433724,4.088040749521602,4.52737368471929,3.8457124437502936,5.191677165022167,2.7100208956367484,4.098878557513971,4.159243577977662,0
BMP6,2.8118054602167453,3.2583681064936707,2.745733141346686,2.6828494550444755,2.1849793974865936,3.673067967639377,2.892800588037925,2.7787693007817156,0
BOC,3.1870466397306014,3.9452030698559684,1.9674037942364848,3.4380623518602835,2.3380584020067428,2.375466182856313,2.8752067400910657,2.781256411293457,0
BRK1,7.196492924403201,9.98857188782192,4.009894499343418,5.794046069938275,4.751748686028653,5.932614324653549,6.278894732031503,5.863330197295912,0
BST2,1.9574072498080861,1.7474974433396173,33.315258405597,2.1905380226905304,2.6509412666943417,2.3740387167002237,7.372613517471633,2.282288369695377,0
BTC,4.649450680306533,9.930105053270129,3.6365264870904683,4.373828049324665,8.594046609148174,5.835757699032959,6.169952429695488,5.242604189669746,0
BTN3A2,6.286606324939951,5.093302277106996,4.476517623176633,3.647273428491553,2.531230134911104,2.591126831041134,4.104342769944562,4.061895525834093,0
C1QA,3.216192362452364,1.2657561720252768,2.2282143221153663,1.7934367337977837,1.9291179790819741,1.9668090980338522,2.0665877779177695,1.947963538557913,0
C1QTNF1,5.143046858497639,5.587077594266042,4.333236757196342,2.8266448180533077,6.950393187352339,5.9473403316748845,5.131289924506759,5.36506222638184,0
C2,2.379445472555576,3.9749065711964486,2.5684412808572388,3.410137897632591,3.2538893156200985,3.871304475752786,3.2430208356024566,3.3320136066263446,0
CA1,8.7657496843887,6.994048344266721,6.262527445468378,7.856516763431652,7.392089153717394,7.020425583418201,7.381892829115174,7.2062573685677975,0
CA12,3.67523067457688,3.354012003701087,3.829462794620137,3.155606437332279,4.200077902324893,3.506862267637974,3.620208680032208,3.5910464711074273,0
CA13,15.300759716624318,18.650541471328157,21.15691640200674,10.613125677349847,21.041267937888687,17.106272368473647,17.3114805956119,17.878406919900904,0
CA14,2.496684625247013,1.4259524028138297,2.5177164446111404,1.662610804123754,0.7902850426567481,2.322097425000418,1.8692244574088173,1.9923541145620858,0
CA2,10.03665926079565,8.085670774371565,8.345289125591501,11.868829669743507,10.033531209507059,7.773406742116575,9.35723113035431,9.18941016754928,0
CA3,6.116909558635061,7.063289645337658,5.517977558073202,11.509998413175468,7.496795797110703,5.961376128917963,7.2777245168750095,6.59009960198636,0
CA4,5.387012341469734,9.669480295273182,5.1783097163946525,3.6688896617582474,8.609207908331122,6.540592918462206,6.508915473614858,5.96380262996597,0
CA5A,5.155069127548209,14.590314139652635,11.269232435705334,8.134000377887649,6.462139160531592,11.475027891254317,9.514297188763289,9.701616406796491,0
CA6,8.45817366165882,5.504770522902807,3.6120047017275394,4.89781440014635,4.142465632139687,3.4691037408939702,5.014055443244862,4.520140016143019,0
CA9,5.22186293891218,5.36741122884196,4.381192618689697,3.9772249305154497,3.1243792407834645,2.6479301464116816,4.120000184025739,4.179208774602573,0
CADM3,4.615910394200399,5.585163285180418,3.9412200640226347,5.545922907482533,3.5844629046314087,5.901854135318621,4.862422281806002,5.080916650841466,0
CALCA,4.345024243460098,3.0929849224498067,4.260798192279433,9.504718846649531,4.308619044873834,4.720885532400604,5.0388384636855506,4.326821644166966,0
CALCOCO1,10.646554475582631,12.420393691207877,7.941809075416187,9.068185821361647,8.441980836431672,8.200798317725392,9.453287036287568,8.75508332889666,0
CALR,5.847984444913423,9.268519249882834,4.223556850831721,9.648536225793304,5.8297564970528875,6.667441587238716,6.914299142618814,6.257713016076069,0
CANT1,1.9205488223725682,2.837828150229425,3.03552616256587,3.329976953367117,2.1484602250306613,1.7714274147339475,2.5072946213832648,2.493144187630043,0
CAPG,5.838489359869641,3.602104207553773,5.009634777574748,5.323860189538251,9.858461115203532,4.705457754248503,5.723001233998074,5.166747483556499,0
CARHSP1,10.356637015343992,9.362531944169369,43.78779183452494,8.862049789158423,5.797989447879755,6.169580620638583,14.056096775285843,9.112290866663896,0
CASP2,10.984140249387886,21.23833712680171,16.096913344200267,13.220089810131977,14.310838397005053,15.277133526050962,15.187908742262977,14.793985961528008,0
CASP3,9.619503287266042,9.342125206670477,9.582876154367762,9.752161347292821,11.087407154722321,9.980482708072186,9.894092643065267,9.68583231727943,0
CASP8,6.179899391759289,6.117017198721958,4.501104662131934,7.7582138985704026,7.561472872495512,5.340743331442882,6.243075225853663,6.148458295240623,0
CBL,13.44250863836623,15.415638905543497,19.70382103832531,14.598769347091872,19.401823941284288,18.969605581397786,16.922027908668163,17.19262224347064,0
CBLN4,4.921091301645954,2.2942428101940147,2.68658539238455,3.037029957114789,2.826028232332804,3.596548338115527,3.22692100529794,2.9315290947237966,0
CCDC80,2.6632377234881344,4.359240546217368,3.676818010547287,2.80754604857797,2.5528429166437276,2.2337384743946544,3.0489039533115236,2.735391886033052,0
CCL11,2.9814109398603117,1.5005009856944584,2.0050687928736783,1.4464997564013378,2.329965070360828,1.8619814043981122,2.020904491598121,1.9335250986358954,0
CCL13,1.2521573768400984,1.7806755664969263,1.5486661190990338,0.9123849690007845,1.9363399144765707,1.7859820311670032,1.536034329513403,1.66467084279798,0
CCL14,3.015146083418548,5.16614268458233,4.0792754553963935,2.5678345670448364,4.1801147462043176,4.978821565048552,3.9978891836158295,4.1296951008003555,0
CCL15,2.638767994206496,2.519122654989051,3.422902058601828,2.435228552981587,2.089723038900221,3.9416505214495796,2.8412324701881273,2.5789453245977736,0
CCL16,1.497034451592791,3.6571129559116113,2.2661267103551093,2.104490738104268,1.7871263562733206,5.994564601995419,2.8844093023720867,2.1853087242296887,0
CCL17,5.868868370384869,4.724354804277211,3.8717501510620824,2.5653207775342737,5.692894017757248,3.136872896247824,4.310010169543918,4.298052477669646,0
CCL18,5.472604530263094,6.051287621069338,5.642120355602973,4.534674106152423,6.0283067121733,6.230517231724858,5.659918426164331,5.835213533888137,0
CCL19,2.472389884535515,2.0333049368845573,1.9060950377499364,1.9636069335636763,1.6879621963871214,2.3799283907710165,2.0738812299819704,1.9984559352241167,0
CCL2,3.319274133097088,1.8923029283914443,1.173832154497228,1.0521625852206906,1.3745094261331434,2.4764982605822263,1.8814299146536368,1.6334061772622939,0
CCL20,8.91342656989671,6.187888669992729,8.099058411500186,17.108227638206813,4.8704783111077985,4.533645209977581,8.285454135113635,7.143473540746458,0
CCL21,6.39737210313863,5.576966397745096,5.4142472990008645,4.4695142167453445,3.3554259806670212,4.986242366029181,5.033294727221023,5.200244832515023,0
CCL23,2.276661999538018,2.288307806315711,2.211354100329718,1.861863149339988,2.200231920826388,2.177000094955132,2.1692365118841592,2.205793010578053,0
CCL24,1.911075001542097,2.48248445357286,2.636394192180226,2.557405619099742,1.7400790641010666,2.8597778551026325,2.364536030933104,2.519945036336301,0
CCL25,2.7339188826077354,2.3960535181064073,3.2205045536843553,1.414235155286733,1.1919759072980953,2.8618077074634907,2.303082620741136,2.5649862003570716,0
CCL27,5.281917292871017,6.136478220411276,26.566352796945434,3.908766714134459,5.64422153721235,7.768058922721324,9.217632580715977,5.890349878811813,0
CCL28,5.488103800035316,3.297544351661555,3.787062976789667,3.542759887309129,4.604922290766071,3.601174276746909,4.053594597218108,3.694118626768288,0
CCL3,2.711156924551256,3.0842906297527373,4.281832631278608,2.192383702752153,2.823121903935353,4.511589613785212,3.2673959010092197,2.953706266844045,0
CCL4,4.1138156853774355,3.5020243629884824,3.086594388032155,1.3635754215756868,2.1472278634782374,3.0785846918848994,2.881970402222816,3.0825895399585272,0
CCL5,16.229137962578193,12.685549841272277,11.733584528339273,13.237617352227707,12.735477802612218,13.868402418524195,13.414961650925644,12.986547577419962,0
CCL8,1.7951921642848092,1.6129466894658706,1.4496223572331663,1.0974316264175297,1.7612228500324256,1.8828787753835725,1.5998824104695624,1.687084769749148,0
CCN1,7.929668275784621,7.182186544010047,8.546496474431283,6.01950064469864,5.226421446251353,5.805883108875669,6.785026082341936,6.600843594354344,0
CCN3,4.303404512667325,4.8340465845610945,4.4939181592127735,4.154495675117768,2.8542580402367883,2.8482887079836994,3.9147352799632413,4.228950093892546,0
CCN4,2.5967842258147615,3.661364374445042,1.8047269347814014,2.976955562012778,2.312968677854032,2.137176145474289,2.581662653397051,2.454876451834397,0
CD109,4.761541816908835,5.12128580908939,4.540371501027558,4.008684928464868,6.499995422230773,4.503281467189303,4.905860157485121,4.650956658968196,0
CD160,2.8637901463166817,2.312786614561716,1.8629373553820896,2.254594406651752,2.3293337211321075,0.9783634176728382,2.100300943619531,2.283690510606734,0
CD163,1.542765662014124,1.4544525529770755,1.7097433911373967,1.8638300057679558,1.7114397256394007,2.4854231685913626,1.7946090843545526,1.7105915583883986,0
CD164,3.0681954388775727,4.7868519159837675,5.064610493734677,2.869486919145158,5.20740853680341,2.53502107371534,3.921929063043321,3.92752367743067,0
CD177,3.929528228413198,3.9338374533666385,4.3360723684933475,4.475614972041289,2.3206443080678985,2.577382039412355,3.5955132282991213,3.931682840889918,0
CD1C,1.9035817930074568,2.651998848033888,3.3279349799049847,2.9868192668485816,2.3373881133343,1.6865967318328192,2.4823866221603383,2.494693480684094,0
CD200,2.0057849983956406,1.9803504412046897,1.9427586905685106,1.0616355314920523,1.5515216282618711,2.8671735373551845,1.9015374712129915,1.9615545658866003,0
CD200R1,2.389708160850557,1.9356715619963885,2.942464679681002,1.8611388541035037,1.3629815594951764,3.147698400669202,2.2732772027993047,2.162689861423473,0
CD207,3.660435286072854,7.131980431353997,3.9658104565937298,4.494394703552836,3.4213103561192835,4.831243289260824,4.584195753825587,4.230102580073283,0
CD209,2.8938382530752964,3.291192738804256,1.5300343153447695,2.4820057440917873,2.3632362795790285,2.7879763719635458,2.5580472838097807,2.6349910580276665,0
CD22,2.233071438233624,1.626591730251756,1.557924240355342,2.017373609035958,1.6604915597276608,1.2207317945015677,1.7193640620176514,1.6435416449897085,0
CD244,2.589308341937355,1.8744685431377972,2.223052820911588,1.9837840199003167,2.942259373977807,1.7116286609715519,2.220750293472736,2.1034184204059523,0
CD27,1.3527155682610255,1.5539516473341903,1.2538038666788165,1.9626810268663863,1.7434303339217276,0.8050325238408264,1.4452691611504955,1.453333607797608,0
CD274,2.2453783256531437,1.5878142568911484,1.469664697730663,1.9473482823836203,3.4952452739537305,2.031461028750338,2.129485310893774,1.989404655566979,0
CD2AP,10.955461586155717,16.31815665190034,18.967193710924626,11.290713729161483,20.1082961009989,14.607561823506632,15.374563933774617,15.462859237703485,0
CD300C,0.8987011073629674,1.5193312651659234,1.8333930192977448,0.8643315791118668,1.2396993902644478,1.6451834045569045,1.3334399609599759,1.3795153277151857,0
CD300E,5.038577370640862,3.5978095534124828,3.5014503040894214,4.766062810274416,5.502970500869086,3.801288262348889,4.368026466939193,4.2836755363116525,0
CD300LF,1.0930540330548089,2.2172155727939677,3.043809893232019,1.5632202615610113,2.3339142848926566,2.2333279303375617,2.0807569959786707,2.2252717515657645,0
CD300LG,3.517107069322161,3.944861946435391,1.828982771262559,4.061193241779231,3.6634171997793747,3.2029474223878025,3.3697516084944197,3.590262134550768,0
CD302,1.9997081440405777,2.521077628326184,31.342405413963608,4.219314828486539,3.744627547195847,5.380077905991908,8.20120191133411,3.981971187841193,0
CD33,5.08933303842948,1.8028855319721804,19.881920477319387,2.0364977594825415,3.2072496204953844,1.4146126259028806,5.572083175600309,2.6218736899889628,0
CD38,2.274592464757443,3.1455760046682877,3.434507724816692,2.0365527618946273,3.165576627501817,3.7980178105486404,2.975803899031251,3.1555763160850523,0
CD4,2.6512895782951635,4.354404163371598,3.899245678385207,1.9463813169684139,1.5813997452411426,2.6119131678389516,2.840772275016746,2.6316013730670575,0
CD40,1.9805417145645472,2.363134785600646,2.5046534179403324,1.9572504483623185,2.2487017335938133,1.7106722113378245,2.127492385233247,2.1146217240791803,0
CD40LG,4.445885671909127,6.588194540276955,8.034956664191844,5.381655337400541,8.217662183255392,4.718087747175181,6.231073690701507,5.984924938838748,0
CD46,3.1583635381635107,4.601640233623184,4.3654836391608915,3.3409057033301477,4.035592578227246,4.498273886272264,4.00004326312954,4.200538108694069,0
CD48,1.245624749491385,1.4344501079671494,1.3567258611101256,1.6718355975533548,1.1339992587121717,1.0050958839286712,1.307955243127143,1.3011753053007553,0
CD5,2.630324284932047,2.3020852849582916,1.9326092856155976,1.4420566505948436,2.1683334662456613,1.7433692705159225,2.0364630404770607,2.0504713759306297,0
CD58,5.486312884416193,5.85692350653962,3.6512147358495985,3.724682064626758,4.075892602323174,3.4595321849284377,4.375759663113963,3.9002873334749664,0
CD59,5.67213450047106,7.104448934391817,6.693481322386852,6.107474288887797,6.632999872233287,8.384207396036802,6.765791052401269,6.66324059731007,0
CD6,3.006162223794769,2.1206043334541156,1.5598625450947918,1.59677746946509,2.2337204830123785,2.145575543672862,2.1104504330823346,2.1330899385634887,0
CD63,4.533305610756796,5.963414862144474,24.00347497405161,5.362475539675217,5.466486023391528,6.505039550783408,8.639032760133839,5.714950442768001,0
CD69,20.129446791333173,13.462757197195327,16.575602521523912,14.176763572853993,20.39762795869226,14.34947590855899,16.51527899169294,15.462539215041451,0
CD70,4.9020314505162155,6.474012409620303,4.026398025691352,4.5451840031964865,2.992417078329928,4.059248781351091,4.499881958117562,4.302216392273788,0
CD74,7.167119849706021,4.844470490524032,4.022024951190713,5.345971127582974,2.871522349153947,5.238192756643229,4.91488358746682,5.0413316235836305,0
CD79B,2.8307101862662507,4.405280968092132,5.1858602849452815,2.8672045729034323,4.233559415615083,1.941102877650921,3.5772863842455167,3.550381994259258,0
CD83,3.952707954859554,3.3606804117126714,2.4971971146257603,3.2085075917388353,1.8565787371134133,2.12165123946803,2.8328871749197106,2.852852353182298,0
CD84,2.1753725817908776,2.645567704421573,3.7853575266479718,2.912589854741186,3.749319404356912,3.696994635423951,3.1608669512304117,3.3047922450825684,0
CD8A,1.884069584107635,1.6565890077525094,2.250982397474068,1.6728980285425126,1.6166487882462448,1.18011946984173,1.71021787932745,1.664743518147511,0
CD93,0.9730646200772518,1.4303704061882299,1.2133124821492385,0.8525013173775629,1.5861109377909113,1.6810367105964743,1.2893994123632782,1.3218414441687343,0
CD99L2,3.362554968532855,2.7924477813650808,2.227705958220427,3.3919510500921874,2.8077344846939694,3.44866323405875,3.005176246160545,3.085144726613412,0
CDC27,7.747693498895641,22.563966718013905,11.822271776855574,9.695274620927705,10.469751342419043,9.28314619296862,11.930350691680081,10.082512981673375,0
CDCP1,5.0097422603954795,4.578811111577153,5.537859234498763,3.3899772536950437,4.595093480613532,3.0139909746816653,4.354245719243606,4.586952296095342,0
CDH1,3.5008939980166485,6.633246835383508,6.077209771136628,5.673092599115009,4.7764362279495,4.3093418977172675,5.161703554886427,5.224764413532254,0
CDH15,2.616478340463538,1.8122383182368096,21.900986454011846,2.868320019088274,3.5650918969767664,2.181971179734031,5.824181034751877,2.742399179775906,0
CDH17,3.229070825250064,1.5100038275035186,21.086750424535456,1.9987831724378142,2.859891792994969,2.6139594028044475,5.549743240921045,2.7369255978997082,0
CDH2,3.2241801797071683,5.751110780068842,5.701360862955061,6.531510977823115,4.429463867748491,3.573269514466003,4.868482697128114,5.065412365351776,0
CDH3,1.5557354732194195,1.5754326071881781,2.0959654911031813,1.4572586948552273,2.3078514399766226,2.139195711118831,1.8552399029102433,1.8356990491456797,0
CDH5,3.9720732735401714,3.210165808077548,3.160417391280109,3.5296881321134417,3.8393906222139913,6.110314096097438,3.9703415538871165,3.6845393771637163,0
CDH6,2.2633232977309667,1.6055096763743946,1.9913053924159192,1.3175968654345698,2.708867902948882,2.435740899611349,2.05372400575268,2.127314345073443,0
CDHR2,5.920054198136827,3.5586556947060575,2.5883804042376704,3.2055152250838432,4.41304474067841,4.011466186027096,3.949519408144984,3.785060940366577,0
CDHR5,3.0156250831791143,3.714467717882952,2.928454779832117,3.7654541992068533,3.4540275185634615,4.226685847488069,3.5174525243587613,3.584247618223207,0
CDKN1A,11.990131852709268,17.618293746259265,13.758160979953466,11.729118745014668,16.695260687599426,15.7210992792296,14.585344215127616,14.739630129591532,0
